0.580,5,247,102,,,,5,,,,45,00,52,67,47,34
0.810,2,449,38,45,1,1,17,0.51,24.5,1,46,08,10,68,00,31
0.430,3,341,467,55,1,1,4,0.58,0.5,1,44,54,00,68,14,45
0.910,5,1273,700,106,1,1,65,0.62,4.3,0,45,21,08,70,41
0.130,2,995,12,37,1,1,4,0.54,28.6,1,46,53,28,68,53,46
0.260,5,922,2923,62,1,1,298,0.51,5.8,0,46,26,41,69,18,10
0.430,2,634,227,150,1,1,6,0.53,0.5,1,45,45,04,69,04,43
0.220,5,519,1222,88,1,1,6,,,1,45,09,00,68,05,35
0.440,5,574,5581,136,1,1,762,0.50,3.2,1,47,02,24,68,33,10
0.570,3,416,1568,158,1,1,22,0.53,0.3,0,44,55,54,69,56,58
0.360,3,1503,211,58,1,1,6,0.56,1.8,1,45,44,46,70,07,27
0.280,2,298,14340,128,1,1,226,0.56,0.5,0,45,13,56,67,48,06
0.240,3,683,61,38,1,1,1,0.61,1.1,1,45,22,07,69,24,50
0.090,4,1209,280,68,1,1,5,0.76,0.9,1,45,26,20,69,44,12
0.770,4,205,190,52,1,1,3,0.53,0.8,1,44,38,45,68,44,40
0.410,5,319,1574,92,1,1,21,0.50,0.5,,45,21,33,67,55,10
0.260,5,1486,91,96,1,1,1,0.76,0.8,0,45,27,22,69,40,44
0.360,2,751,474,37,1,1,32,0.56,7.4,0,46,14,42,69,01,54
0.110,5,1189,388,85,1,1,4,0.56,0.3,1,46,56,01,68,53,30
0.160,5,756,331,75,1,1,4,0.61,0.5,0,44,39,27,70,14,23
0.410,5,913,225,90,1,1,41,0.61,7.3,1,45,44,43,69,11,24
0.250,5,1244,713,80,1,1,39,0.46,2.0,1,45,38,12,70,20,40
0.025,2,1494,47,26,2,0,1,0.69,0.8,1,45,37,50,69,12,30
0.570,5,402,568,54,2,1,15,0.56,1.1,0,44,25,13,70,19,22
0.770,5,557,704,44,2,1,14,0.58,2.7,0,43,37,00,70,59,04
0.790,5,417,6944,22,2,0,123,0.57,2.0,1,45,30,32,67,50,02
0.750,4,205,200,29,2,1,18,0.51,9.6,0,43,21,46,70,44,23
0.180,5,122,25,9,2,0,10,0.51,58.8,1,44,46,25,68,56,35
1.050,5,298,281,42,2,1,8,0.48,2.1,1,45,18,36,68,03,17
0.310,5,446,576,25,2,0,7,0.56,1.1,1,45,44,44,67,51,34
0.230,5,270,20,13,2,0,2,,,1,44,22,15,69,54,59
0.580,5,227,2035,28,2,0,12,0.51,0.6,0,45,23,27,68,40,43
0.570,5,910,45,9,2,0,2,,,1,46,15,31,69,09,27
0.770,5,374,63,45,2,1,4,0.62,4.5,1,43,55,28,70,53,09
0.790,4,1235,2627,24,2,0,182,0.61,13.1,0,45,52,15,70,00,01
0.290,5,203,430,8,2,0,23,0.51,20.1,0,44,42,14,69,16,21
0.910,4,500,685,25,2,0,5,0.51,0.6,1,45,31,14,68,48,32
0.250,5,824,401,19,2,0,5,0.52,1.1,1,46,27,13,68,42,12
0.180,5,1095,24,19,2,1,0,0.46,0.8,1,45,27,30,70,18,20
0.290,5,165,5543,100,2,1,131,0.51,1.1,0,44,15,10,69,56,30
0.050,4,1390,41,14,2,0,4,0.66,19.4,1,45,13,45,69,52,25
0.940,4,263,1823,27,2,,,0.47,0.2,0,44,36,39,69,46,53
0.960,5,109,182,31,2,0,3,0.51,8.2,0,44,43,47,68,44,06
0.360,5,1150,60,11,2,0,1,0.56,2.9,1,45,46,43,69,17,05
0.710,5,221,282,19,2,0,14,0.49,6.2,0,45,20,25,68,26,37
1.220,5,276,210,38,2,1,3,0.53,1.4,0,43,49,12,70,19,42
0.710,3,102,7865,47,2,0,499,0.58,5.8,0,44,35,38,68,26,15
2.500,4,50,35,22,2,1,1,0.63,3.9,1,44,19,32,68,23,51
0.800,3,454,202,20,2,0,2,0.58,1.1,1,45,01,05,68,03,52
0.890,2,676,307,52,2,1,9,0.06,0.3,0,44,15,54,70,50,13
0.450,5,357,1120,45,2,1,9,0.06,0.1,1,44,00,07,70,55,36
0.320,5,170,6765,38,2,0,45,0.62,0.6,0,45,04,27,67,21,43
1.120,5,354,1050,38,2,0,35,0.52,2.5,0,45,39,40,68,18,18
0.480,5,846,422,6,2,0,92,0.58,45.2,1,46,30,33,68,54,18
0.620,4,510,164,50,2,1,2,0.56,0.7,0,44,19,43,70,24,01
0.770,3,311,564,74,2,1,6,0.61,0.8,0,43,35,48,70,42,26
0.160,4,1373,30,8,2,0,0,0.61,2.3,1,45,21,57,70,44,53
0.130,3,1633,14,18,2,0,0,0.71,1.8,1,45,10,51,70,58,53
0.380,5,141,712,27,2,0,17,0.46,2.3,1,44,32,01,69,33,49
0.360,5,377,109,19,2,0,2,0.58,2.2,1,44,35,55,70,10,34
0.080,2,904,45,5,2,0,1,0.51,17.5,1,46,56,10,68,31,11
0.230,5,177,44,20,2,0,,,,0,44,12,56,69,56,47
1.250,3,306,290,41,2,1,14,0.51,3.7,0,44,02,25,70,21,31
0.680,5,312,153,14,2,0,2,0.57,1.8,1,44,35,17,68,35,52
0.510,4,269,134,30,2,1,3,0.47,2.1,1,44,44,26,69,13,30
0.570,1,34,250,34,2,1,116,0.61,43.7,1,44,12,03,69,17,36
0.100,3,1690,17,21,2,1,4,0.56,64.1,1,44,53,52,70,32,34
0.190,5,15,46,11,2,0,0,0.60,1.7,0,43,52,07,69,46,48
0.180,5,499,36,30,2,1,1,0.61,3.3,0,43,38,56,70,52,43
0.120,5,180,660,49,2,1,5,0.51,0.5,1,44,19,28,69,39,31
0.820,4,204,102,6,2,0,14,0.57,50.9,1,44,15,14,69,31,49
0.290,5,1245,7850,48,2,0,600,0.56,9.2,0,44,47,25,71,00,47
0.430,4,882,630,17,2,0,15,0.61,2.9,1,46,17,16,68,25,49
0.180,4,118,1201,41,2,1,28,0.51,1.6,0,44,24,13,69,39,53
0.190,5,296,87,15,2,0,1,0.47,2.0,1,44,58,09,69,19,33
1.080,3,425,83,27,3,1,2,0.60,2.8,1,44,57,44,68,05,07
0.270,5,397,128,8,3,0,2,0.61,7.9,1,43,59,47,70,49,26
0.660,3,350,24,30,3,1,1,,,1,44,24,48,69,23,08
0.100,2,331,32,39,3,0,1,0.64,1.9,0,44,20,44,68,14,20
0.490,5,639,197,32,3,1,17,0.58,10.5,1,45,20,42,69,14,44
0.410,5,328,315,27,3,0,,0.58,0.7,1,44,44,41,68,31,41
0.430,5,819,403,31,3,1,47,0.58,9.5,1,46,24,26,69,02,18
0.390,5,578,2515,46,3,0,164,0.50,3.3,1,47,05,16,68,18,32
0.410,5,328,47,39,3,1,1,0.54,1.1,1,44,16,55,70,16,10
0.210,4,54,4381,114,3,1,57,0.59,0.5,0,44,10,45,69,28,30
0.350,4,345,360,80,3,1,15,0.51,1.7,0,44,31,16,69,59,36
0.730,5,524,126,28,3,0,1,0.61,1.0,0,43,57,06,70,46,50
0.240,2,653,588,34,3,0,6,0.53,0.8,1,46,09,10,68,43,18
0.900,5,683,93,18,3,0,10,0.59,18.9,0,44,18,24,70,39,16
0.071,3,212,53,16,3,0,2,0.62,6.8,0,44,12,53,69,07,44
0.620,5,717,272,13,3,0,4,0.56,2.7,1,46,05,50,68,40,33
0.430,5,312,29,42,3,1,1,0.56,3.3,1,44,24,09,69,23,55
0.350,3,195,115,37,3,1,1,0.61,1.3,1,45,06,38,67,10,30
0.340,5,929,390,62,3,1,13,0.61,2.2,0,45,06,38,69,39,19
0.280,5,101,49,18,3,0,0,0.51,0.9,1,43,15,21,70,45,49
0.450,5,419,605,60,3,1,6,0.58,0.7,1,45,32,56,67,33,15
0.370,5,146,44,30,3,1,0,0.46,1.0,1,44,27,54,69,42,20
0.210,4,1157,3053,44,3,0,558,0.46,20.3,1,45,37,20,70,02,08
0.400,5,390,271,36,3,1,3,0.58,0.9,1,44,55,25,68,15,59
1.120,5,311,1539,26,3,0,66,0.56,4.7,1,45,07,39,68,00,26
0.370,3,17,392,63,3,1,21,0.58,2.3,0,43,57,04,69,46,13
0.540,5,487,175,10,3,0,1,0.57,1.5,0,44,15,38,70,35,11
0.860,5,76,234,24,3,0,19,0.66,12.6,0,44,46,08,67,14,56
0.550,5,304,118,40,3,1,3,0.55,1.9,1,44,30,48,69,07,51
0.670,1,1097,164,33,3,1,5,0.51,3.3,1,45,52,01,69,25,37
0.670,5,204,367,38,3,0,9,0.58,2.3,0,44,20,14,69,02,24
0.480,5,232,339,36,3,1,3,0.62,0.7,0,45,03,59,67,29,10
0.600,5,362,239,15,3,0,14,0.06,1.2,1,44,00,24,70,53,25
0.560,5,446,41,53,3,1,1,,,1,46,24,04,67,49,28
0.220,5,1271,970,46,3,0,25,0.66,2.1,0,45,40,34,69,16,36
0.520,5,271,203,22,3,0,9,0.58,10.1,0,43,32,06,70,38,34
0.440,5,474,161,32,3,1,2,0.55,0.7,1,44,25,57,70,13,15
0.220,5,1203,205,43,3,1,2,0.56,0.8,1,45,07,32,69,59,29
0.370,5,1700,70,58,3,1,4,0.56,3.8,1,44,53,52,70,33,16
0.410,3,87,532,57,3,1,106,0.60,14.2,0,44,15,26,69,15,59
0.470,5,778,638,25,3,0,23,0.56,4.2,1,46,05,09,68,33,50
0.370,5,637,13,21,3,1,3,0.50,25.2,1,47,07,11,68,31,19
0.140,3,1045,980,16,3,0,21,0.61,5.4,0,45,44,34,69,33,31
0.410,5,1409,30,50,3,1,1,0.61,1.9,1,44,47,56,70,57,12
0.490,5,67,135,21,3,1,11,0.58,5.9,0,44,27,48,68,40,33
